H014 vendor live SDMMC0 GCTRL/TMOUT sample kernel=5.15.147-21-a733
index ns GCTRL TMOUT CMDR RINTR STAS DMAC DLBA IDST CHDA CBDA CBCR BBCR
075 1781110900286095560 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
076 1781110900291320859 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
077 1781110900296532116 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
078 1781110900301733957 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
079 1781110900307005298 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
080 1781110900312217348 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
081 1781110900317573064 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
082 1781110900322874613 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
083 1781110900328236913 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
084 1781110900333525920 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
085 1781110900338744803 0x20000810 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
086 1781110900344106102 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
087 1781110900349393443 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
088 1781110900354740160 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
089 1781110900360024459 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
090 1781110900365304425 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
091 1781110900370525641 0x20000830 0x01312dff 0x00003352 0x00010024 0x00069502 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
092 1781110900375886232 0x20000830 0x01312dff 0x00003352 0x0001002c 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
093 1781110900381175490 0x20000830 0x01312dff 0x00003352 0x00010024 0x00049402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
094 1781110900386628289 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
095 1781110900391915922 0x20000830 0x01312dff 0x00003352 0x00010024 0x000e9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
096 1781110900397190180 0x20000830 0x01312dff 0x00003352 0x00010024 0x000e9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
097 1781110900402497729 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
098 1781110900407784029 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
099 1781110900413057911 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
100 1781110900418339252 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
101 1781110900423560843 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
102 1781110900428771351 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
103 1781110900434043442 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
104 1781110900439267283 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
105 1781110900444629582 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
106 1781110900450059382 0x20000830 0x01312dff 0x00003352 0x00010004 0x00049402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
107 1781110900455362931 0x20000830 0x01312dff 0x00003352 0x00010024 0x00069502 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
108 1781110900460572647 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
109 1781110900465836655 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
